bigram,count,frequency
aa,16,0.000
ab,166,0.003
ac,191,0.004
ad,205,0.004
ae,37,0.001
af,69,0.001
ag,144,0.003
ah,101,0.002
ai,192,0.004
aj,30,0.001
ak,153,0.003
al,553,0.011
am,268,0.005
an,620,0.012
ao,36,0.001
ap,176,0.003
aq,7,0.000
ar,610,0.012
as,286,0.006
at,300,0.006
au,159,0.003
av,116,0.002
aw,109,0.002
ax,49,0.001
ay,112,0.002
az,72,0.001
ba,258,0.005
bb,59,0.001
bc,0,0.000
bd,3,0.000
be,241,0.005
bf,0,0.000
bg,0,0.000
bh,9,0.000
bi,129,0.003
bj,0,0.000
bk,1,0.000
bl,86,0.002
bm,1,0.000
bn,2,0.000
bo,194,0.004
bp,0,0.000
bq,0,0.000
br,117,0.002
bs,5,0.000
bt,2,0.000
bu,119,0.002
bv,0,0.000
bw,1,0.000
bx,0,0.000
by,76,0.001
bz,1,0.000
ca,279,0.005
cb,0,0.000
cc,27,0.001
cd,0,0.000
ce,143,0.003
cf,0,0.000
cg,0,0.000
ch,350,0.007
ci,64,0.001
cj,0,0.000
ck,134,0.003
cl,87,0.002
cm,1,0.000
cn,1,0.000
co,248,0.005
cp,0,0.000
cq,1,0.000
cr,135,0.003
cs,2,0.000
ct,43,0.001
cu,103,0.002
cv,0,0.000
cw,0,0.000
cx,0,0.000
cy,31,0.001
cz,2,0.000
da,171,0.003
db,0,0.000
dc,0,0.000
dd,55,0.001
de,255,0.005
df,1,0.000
dg,48,0.001
dh,17,0.000
di,168,0.003
dj,4,0.000
dk,1,0.000
dl,16,0.000
dm,5,0.000
dn,4,0.000
do,144,0.003
dp,1,0.000
dq,0,0.000
dr,89,0.002
ds,13,0.000
dt,3,0.000
du,90,0.002
dv,1,0.000
dw,9,0.000
dx,0,0.000
dy,124,0.002
dz,3,0.000
ea,242,0.005
eb,66,0.001
ec,91,0.002
ed,261,0.005
ee,212,0.004
ef,30,0.001
eg,69,0.001
eh,12,0.000
ei,86,0.002
ej,8,0.000
ek,53,0.001
el,319,0.006
em,122,0.002
en,357,0.007
eo,37,0.001
ep,77,0.002
eq,8,0.000
er,688,0.013
es,193,0.004
et,236,0.005
eu,35,0.001
ev,59,0.001
ew,67,0.001
ex,64,0.001
ey,76,0.001
ez,17,0.000
fa,82,0.002
fb,0,0.000
fc,0,0.000
fd,2,0.000
fe,68,0.001
ff,71,0.001
fg,0,0.000
fh,0,0.000
fi,86,0.002
fj,1,0.000
fk,1,0.000
fl,80,0.002
fm,0,0.000
fn,0,0.000
fo,68,0.001
fp,0,0.000
fq,0,0.000
fr,61,0.001
fs,2,0.000
ft,48,0.001
fu,53,0.001
fv,0,0.000
fw,0,0.000
fx,0,0.000
fy,34,0.001
fz,0,0.000
ga,197,0.004
gb,1,0.000
gc,0,0.000
gd,2,0.000
ge,201,0.004
gf,0,0.000
gg,44,0.001
gh,62,0.001
gi,89,0.002
gj,0,0.000
gk,2,0.000
gl,77,0.002
gm,9,0.000
gn,17,0.000
go,139,0.003
gp,0,0.000
gq,0,0.000
gr,103,0.002
gs,7,0.000
gt,1,0.000
gu,122,0.002
gv,0,0.000
gw,3,0.000
gx,0,0.000
gy,83,0.002
gz,0,0.000
ha,306,0.006
hb,0,0.000
hc,0,0.000
hd,1,0.000
he,219,0.004
hf,0,0.000
hg,0,0.000
hh,0,0.000
hi,174,0.003
hj,0,0.000
hk,0,0.000
hl,7,0.000
hm,10,0.000
hn,4,0.000
ho,216,0.004
hp,0,0.000
hq,0,0.000
hr,33,0.001
hs,2,0.000
ht,27,0.001
hu,104,0.002
hv,2,0.000
hw,3,0.000
hx,0,0.000
hy,68,0.001
hz,0,0.000
ia,176,0.003
ib,55,0.001
ic,266,0.005
id,211,0.004
ie,165,0.003
if,57,0.001
ig,84,0.002
ih,11,0.000
ii,10,0.000
ij,8,0.000
ik,54,0.001
il,246,0.005
im,131,0.003
in,515,0.010
io,84,0.002
ip,78,0.002
iq,4,0.000
ir,194,0.004
is,232,0.005
it,205,0.004
iu,15,0.000
iv,65,0.001
iw,7,0.000
ix,47,0.001
iy,7,0.000
iz,41,0.001
ja,91,0.002
jb,0,0.000
jc,0,0.000
jd,1,0.000
je,31,0.001
jf,0,0.000
jg,0,0.000
jh,3,0.000
ji,24,0.000
jj,0,0.000
jk,0,0.000
jl,0,0.000
jm,0,0.000
jn,1,0.000
jo,45,0.001
jp,0,0.000
jq,0,0.000
jr,3,0.000
js,0,0.000
jt,0,0.000
ju,46,0.001
jv,0,0.000
jw,0,0.000
jx,0,0.000
jy,2,0.000
jz,0,0.000
ka,143,0.003
kb,0,0.000
kc,0,0.000
kd,0,0.000
ke,184,0.004
kf,0,0.000
kg,0,0.000
kh,24,0.000
ki,96,0.002
kj,0,0.000
kk,13,0.000
kl,9,0.000
km,0,0.000
kn,23,0.000
ko,78,0.002
kp,1,0.000
kq,0,0.000
kr,23,0.000
ks,8,0.000
kt,2,0.000
ku,46,0.001
kv,2,0.000
kw,1,0.000
kx,0,0.000
ky,124,0.002
kz,0,0.000
la,433,0.008
lb,12,0.000
lc,19,0.000
ld,59,0.001
le,401,0.008
lf,11,0.000
lg,20,0.000
lh,4,0.000
li,285,0.006
lj,0,0.000
lk,24,0.000
ll,166,0.003
lm,32,0.001
ln,4,0.000
lo,258,0.005
lp,30,0.001
lq,0,0.000
lr,2,0.000
ls,27,0.001
lt,62,0.001
lu,136,0.003
lv,30,0.001
lw,2,0.000
lx,0,0.000
ly,189,0.004
lz,2,0.000
ma,359,0.007
mb,91,0.002
mc,2,0.000
md,3,0.000
me,223,0.004
mf,1,0.000
mg,0,0.000
mh,2,0.000
mi,184,0.004
mj,0,0.000
mk,1,0.000
ml,5,0.000
mm,53,0.001
mn,12,0.000
mo,179,0.003
mp,79,0.002
mq,0,0.000
mr,1,0.000
ms,8,0.000
mt,0,0.000
mu,108,0.002
mv,1,0.000
mw,0,0.000
mx,0,0.000
my,88,0.002
mz,1,0.000
na,284,0.006
nb,16,0.000
nc,91,0.002
nd,146,0.003
ne,277,0.005
nf,11,0.000
ng,192,0.004
nh,10,0.000
ni,177,0.003
nj,18,0.000
nk,101,0.002
nl,20,0.000
nm,6,0.000
nn,101,0.002
no,149,0.003
np,6,0.000
nq,0,0.000
nr,19,0.000
ns,64,0.001
nt,171,0.003
nu,65,0.001
nv,3,0.000
nw,9,0.000
nx,1,0.000
ny,107,0.002
nz,13,0.000
oa,86,0.002
ob,66,0.001
oc,95,0.002
od,100,0.002
oe,36,0.001
of,34,0.001
og,83,0.002
oh,26,0.001
oi,89,0.002
oj,7,0.000
ok,90,0.002
ol,212,0.004
om,127,0.002
on,351,0.007
oo,205,0.004
op,103,0.002
oq,5,0.000
or,365,0.007
os,158,0.003
ot,197,0.004
ou,191,0.004
ov,53,0.001
ow,135,0.003
ox,35,0.001
oy,49,0.001
oz,23,0.000
pa,244,0.005
pb,4,0.000
pc,2,0.000
pd,1,0.000
pe,215,0.004
pf,2,0.000
pg,1,0.000
ph,62,0.001
pi,169,0.003
pj,1,0.000
pk,0,0.000
pl,71,0.001
pm,1,0.000
pn,1,0.000
po,147,0.003
pp,50,0.001
pq,0,0.000
pr,83,0.002
ps,45,0.001
pt,35,0.001
pu,80,0.002
pv,0,0.000
pw,2,0.000
px,0,0.000
py,91,0.002
pz,0,0.000
qa,0,0.000
qb,0,0.000
qc,0,0.000
qd,0,0.000
qe,0,0.000
qf,0,0.000
qg,0,0.000
qh,0,0.000
qi,2,0.000
qj,0,0.000
qk,0,0.000
ql,0,0.000
qm,0,0.000
qn,0,0.000
qo,0,0.000
qp,0,0.000
qq,0,0.000
qr,1,0.000
qs,0,0.000
qt,0,0.000
qu,94,0.002
qv,0,0.000
qw,0,0.000
qx,0,0.000
qy,0,0.000
qz,0,0.000
ra,518,0.010
rb,29,0.001
rc,38,0.001
rd,62,0.001
re,471,0.009
rf,12,0.000
rg,65,0.001
rh,22,0.000
ri,379,0.007
rj,2,0.000
rk,50,0.001
rl,52,0.001
rm,60,0.001
rn,59,0.001
ro,339,0.007
rp,23,0.000
rq,0,0.000
rr,84,0.002
rs,81,0.002
rt,106,0.002
ru,193,0.004
rv,23,0.000
rw,4,0.000
rx,0,0.000
ry,152,0.003
rz,7,0.000
sa,238,0.005
sb,1,0.000
sc,121,0.002
sd,2,0.000
se,330,0.006
sf,1,0.000
sg,4,0.000
sh,252,0.005
si,149,0.003
sj,1,0.000
sk,88,0.002
sl,86,0.002
sm,63,0.001
sn,63,0.001
so,140,0.003
sp,134,0.003
sq,10,0.000
sr,3,0.000
ss,102,0.002
st,341,0.007
su,102,0.002
sv,0,0.000
sw,60,0.001
sx,0,0.000
sy,74,0.001
sz,1,0.000
ta,352,0.007
tb,1,0.000
tc,50,0.001
td,1,0.000
te,334,0.007
tf,0,0.000
tg,2,0.000
th,222,0.004
ti,199,0.004
tj,0,0.000
tk,5,0.000
tl,17,0.000
tm,4,0.000
tn,3,0.000
to,196,0.004
tp,0,0.000
tq,0,0.000
tr,148,0.003
ts,24,0.000
tt,96,0.002
tu,115,0.002
tv,0,0.000
tw,35,0.001
tx,0,0.000
ty,185,0.004
tz,13,0.000
ua,102,0.002
ub,65,0.001
uc,80,0.002
ud,81,0.002
ue,85,0.002
uf,33,0.001
ug,65,0.001
uh,7,0.000
ui,81,0.002
uj,5,0.000
uk,34,0.001
ul,170,0.003
um,177,0.003
un,330,0.006
uo,11,0.000
up,97,0.002
uq,2,0.000
ur,285,0.006
us,285,0.006
ut,154,0.003
uu,1,0.000
uv,19,0.000
uw,1,0.000
ux,11,0.000
uy,6,0.000
uz,22,0.000
va,102,0.002
vb,0,0.000
vc,0,0.000
vd,0,0.000
ve,238,0.005
vf,0,0.000
vg,0,0.000
vh,0,0.000
vi,111,0.002
vj,0,0.000
vk,0,0.000
vl,1,0.000
vm,0,0.000
vn,0,0.000
vo,41,0.001
vp,0,0.000
vq,0,0.000
vr,3,0.000
vs,0,0.000
vt,0,0.000
vu,13,0.000
vv,5,0.000
vw,0,0.000
vx,0,0.000
vy,24,0.000
vz,0,0.000
wa,173,0.003
wb,2,0.000
wc,1,0.000
wd,7,0.000
we,125,0.002
wf,2,0.000
wg,2,0.000
wh,74,0.001
wi,106,0.002
wj,0,0.000
wk,11,0.000
wl,28,0.001
wm,2,0.000
wn,34,0.001
wo,47,0.001
wp,2,0.000
wq,0,0.000
wr,28,0.001
ws,13,0.000
wt,7,0.000
wu,6,0.000
wv,0,0.000
ww,0,0.000
wx,0,0.000
wy,16,0.000
wz,1,0.000
xa,10,0.000
xb,2,0.000
xc,1,0.000
xd,1,0.000
xe,32,0.001
xf,1,0.000
xg,0,0.000
xh,0,0.000
xi,37,0.001
xj,0,0.000
xk,0,0.000
xl,5,0.000
xm,2,0.000
xn,0,0.000
xo,11,0.000
xp,1,0.000
xq,0,0.000
xr,0,0.000
xs,0,0.000
xt,10,0.000
xu,8,0.000
xv,0,0.000
xw,0,0.000
xx,0,0.000
xy,22,0.000
xz,0,0.000
ya,99,0.002
yb,4,0.000
yc,14,0.000
yd,13,0.000
ye,53,0.001
yf,0,0.000
yg,8,0.000
yh,0,0.000
yi,17,0.000
yj,0,0.000
yk,4,0.000
yl,76,0.001
ym,23,0.000
yn,18,0.000
yo,46,0.001
yp,22,0.000
yq,1,0.000
yr,35,0.001
ys,23,0.000
yt,7,0.000
yu,14,0.000
yv,1,0.000
yw,1,0.000
yx,10,0.000
yy,0,0.000
yz,1,0.000
za,45,0.001
zb,3,0.000
zc,0,0.000
zd,2,0.000
ze,81,0.002
zf,0,0.000
zg,0,0.000
zh,1,0.000
zi,31,0.001
zj,0,0.000
zk,0,0.000
zl,4,0.000
zm,1,0.000
zn,0,0.000
zo,45,0.001
zp,0,0.000
zq,0,0.000
zr,0,0.000
zs,0,0.000
zt,2,0.000
zu,10,0.000
zv,0,0.000
zw,0,0.000
zx,0,0.000
zy,29,0.001
zz,22,0.000
